,Model Name,Dim,Method,Samples,Runtime_v,Runtime_f,Volume
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,750,22.335473323997576,117.00248000200372,0.0242448656128013
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,1000,579.1412792430201,598.0576855410181,0.0289842347291437
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,1000,27.611302463017637,144.99056936902343,0.0305612811439921
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0, Flow*,,1.5731267590017524,1.604747892008163,0.0783086424540341
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,10,1.6620533840032294,1.8468654419993982,0.0107034996636605
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,10,0.2702863880258519,1.663029704010114,0.0129829938018067
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,20,3.1829603950027376,3.506464660022175,0.0110671154907961
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,20,0.34812239900929853,2.725943488010671,0.0121549968798370
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,50,7.194145222980296,7.976760513003683,0.0109847864077163
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,50,0.832302647002507,6.495004513009917,0.0152948134029791
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,75,11.78253003701684,12.925083242007531,0.0110902173332106
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,75,1.308337554015452,10.682333054021,0.0257605225087778
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,100,15.276122551003937,16.80136541899992,0.0110891958463765
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,100,1.9656759630015586,13.737798852002015,0.0189256049938926
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,150,22.365185123984702,24.597796433983603,0.0110821689326264
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,150,2.5340234710020013,20.50250887798029,0.0378462774093846
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,200,29.43124885499128,32.53374407198862,0.0110655318094065
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,200,3.3071159649989568,27.324985719984397,0.0237992451445138
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,400,59.409195752989035,65.46737944500637,0.0110879214083081
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,400,6.9427529029781,54.154970337986015,0.0511987512309689
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,500,73.50563793399488,80.96061802798067,0.0110952039890012
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,500,8.333118304988602,67.64442083099857,0.0309250956289461
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,750,109.8188411819865,120.91472921299282,0.0110953699987791
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,750,12.66052566099097,102.84378008698695,0.0399695343781859
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,sensitive,1000,155.77711523199105,170.7118733539828,0.0110961495055068
0,"System(R, (x, y, z), [[0.69999999999999995 .. 1.0000000000000000], 1, 1], (-y - z, x + 0.3980000000000000?*y, x*z - 4*z + 2), varmap=bidict({'x': x, 'y': y, 'z': z})))",3.0,lipschitz,1000,16.944614178995835,135.61506385399844,0.0563126037062624
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0, Flow*,,4.467291912995279,4.503268547006883,0.00184828668870644
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,sensitive,10,1.6289550799992867,1.7681597569899168,1.33121892999897e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,lipschitz,10,0.25371067598462105,1.1561074639903381,1.10609357727086e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,sensitive,20,2.9466894259967376,3.1963827509898692,1.33510564063451e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,lipschitz,20,0.40240261299186386,1.9105177599994931,1.09326395142063e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,sensitive,50,7.47337034001248,8.06454945000587,1.33420476753223e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,lipschitz,50,0.9542803140066098,4.354783171991585,1.30106882931516e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,sensitive,75,10.994279606995406,11.880662381008733,1.33333859796374e-7
0,"System(R, (r, theta, vr, vtheta), [[1.1899999999999999 .. 1.2100000000000000], [0.48999999999999999 .. 0.51000000000000001], 0, 0], (vr, vtheta, r*vtheta^2 - 2*r + 9.8*cos(theta) + 2, -(2*vr*vtheta + 9.8*sin(theta))/r), varmap=bidict({'r': r, 'theta': theta, 'vr': vr, 'vtheta': vtheta})))",4.0,lipschitz,75,1.7422379339986946,7.148288459022297,1.24654378645049e-7
